X,Y,Z
4305764.63516235,-2445228.09001312,12794
4305764.63516235,-2444503.91091864,12765
4305764.63516235,-2443779.5660702,12691
4305764.63516235,-2443055.38697572,12637
4305764.63516235,-2442331.20788125,12583
4305764.63516235,-2441607.02878677,12521
4305764.63516235,-2440882.8496923,12420
4305764.63516235,-2440158.67059783,12140
4305764.63516235,-2439434.49150335,12051
4305764.63516235,-2437986.1333144,12001
4304837.19497681,-2448409.76050474,12023
4304837.19497681,-2447685.49711807,12260
4304837.19497681,-2446961.2337314,12351
4304837.19497681,-2446236.97034473,12506
4304837.19497681,-2445512.70695807,12602
4304837.19497681,-2444788.4435714,12727
4304837.19497681,-2444064.01441146,12790
4304837.19497681,-2443339.7510248,12772
4304837.19497681,-2442615.48763813,12743
4304837.19497681,-2441891.22425146,12699
4304837.19497681,-2441166.96086479,12619
4304837.19497681,-2440442.69747812,12538
4304837.19497681,-2439718.43409145,12441
4304837.19497681,-2438994.17070478,12352
4304837.19497681,-2438269.90731811,12280
4304837.19497681,-2437545.64393145,12185
4304837.19497681,-2436821.38054478,12122
4304837.19497681,-2436097.11715811,12084
4304837.19497681,-2435372.85377144,12043
4303909.33013916,-2447246.09788379,12148
4303909.33013916,-2446521.75018166,12279
4303909.33013916,-2445797.40247952,12400
4303909.33013916,-2445073.05477739,12540
4303909.33013916,-2444348.54128269,12663
4303909.33013916,-2443624.19358056,12738
4303909.33013916,-2442899.84587842,12862
4303909.33013916,-2442175.49817629,12876
4303909.33013916,-2441451.15047415,12800
4303909.33013916,-2440726.80277202,12682
4303909.33013916,-2440002.45506988,12566
4303909.33013916,-2439278.10736775,12502
4303909.33013916,-2438553.75966562,12464
4303909.33013916,-2437829.41196348,12424
4303909.33013916,-2437105.06426135,12381
4303909.33013916,-2436380.71655921,12365
4303909.33013916,-2435656.36885708,12329
4303909.33013916,-2434932.02115494,12180
4303909.33013916,-2434207.67345281,12040
4302981.88995361,-2446081.9159806,12035
4302981.88995361,-2445357.48401691,12203
4302981.88995361,-2444632.88624136,12350
4302981.88995361,-2443908.45427767,12493
4302981.88995361,-2443184.02231398,12654
4302981.88995361,-2442459.59035029,12823
4302981.88995361,-2441735.15838659,12911
4302981.88995361,-2441010.7264229,12886
4302981.88995361,-2440286.29445921,12786
4302981.88995361,-2439561.86249551,12722
4302981.88995361,-2438837.43053182,12653
4302981.88995361,-2438112.99856813,12581
4302981.88995361,-2437388.56660444,12512
4302981.88995361,-2436664.13464074,12481
4302981.88995361,-2435939.70267705,12468
4302981.88995361,-2435215.27071336,12441
