X,Y,Z
38611.39502774831,11828.249270431348,-77.00543150271551
38611.39502774831,12541.251607686398,-44.00543150271551
38611.39502774831,13254.25394494133,-28.00543150271551
38611.39502774831,13967.25628219638,-13.00543150271551
38611.39502774831,14680.258619452361,-15.00543150271551
38611.39502774831,15393.26095670741,-12.00543150271551
38611.39502774831,16106.263293962344,-6.00543150271551
37683.95484219864,11734.759972861386,-55.00543150271551
37683.95484219864,12447.848593343399,-29.00543150271551
37683.95484219864,13160.937213824363,-11.00543150271551
37683.95484219864,13874.025834306376,-1.0054315027155099
37683.95484219864,14587.114454787341,-4.00543150271551
37683.95484219864,15300.203075269354,-3.00543150271551
37683.95484219864,16013.291695750318,3.99456849728449
36756.09000454843,10927.987670799368,-81.00543150271551
36756.09000454843,11641.244216565392,-41.00543150271551
36756.09000454843,12354.419144692365,-19.00543150271551
36756.09000454843,13067.594072819338,-10.00543150271551
36756.09000454843,13780.769000947359,-3.00543150271551
36756.09000454843,14493.943929074332,9.99456849728449
36756.09000454843,15207.118857201305,-12.00543150271551
36756.09000454843,15920.293785328395,-2.00543150271551
35828.649819009006,10834.444792767405,-65.00543150271551
35828.649819009006,11547.787601466407,-21.00543150271551
35828.649819009006,12261.048782656319,-18.00543150271551
35828.649819009006,12974.309963846346,-13.00543150271551
35828.649819009006,13687.571145036374,-8.00543150271551
35828.649819009006,14400.832326226402,15.99456849728449
35828.649819009006,15114.093507416314,17.99456849728449
35828.649819009006,15827.354688606341,-5.00543150271551
34900.784981358796,10027.527991868323,-81.00543150271551
34900.784981358796,10740.875450523337,-41.00543150271551
34900.784981358796,11454.304546562373,-20.00543150271551
34900.784981358796,12167.65200521634,-16.00543150271551
34900.784981358796,12880.999463871354,-14.00543150271551
34900.784981358796,13594.346922526369,-8.00543150271551
34900.784981358796,14307.694381181384,-1.0054315027155099
34900.784981358796,15021.04183983535,12.99456849728449
34900.784981358796,15734.389298490365,-3.00543150271551
33973.34479580913,9933.931611496373,-65.00543150271551
33973.34479580913,10647.365293043316,-30.00543150271551
33973.34479580913,11360.88062184141,-25.00543150271551
33973.34479580913,12074.314303388353,-16.00543150271551
33973.34479580913,12787.747984935297,-10.00543150271551
33973.34479580913,13501.181666482356,2.99456849728449
33973.34479580913,14214.6153480293,11.99456849728449
33973.34479580913,14928.04902957636,15.99456849728449
33973.34479580913,15641.482711123303,1.9945684972844901
33045.47995816916,9126.78883264435,-81.00543150271551
33045.47995816916,9840.30876146839,-39.00543150271551
33045.47995816916,10553.828690292314,-18.00543150271551
33045.47995816916,11267.430276237312,-20.00543150271551
33045.47995816916,11980.950205061352,-12.00543150271551
33045.47995816916,12694.470133884344,-4.00543150271551
33045.47995816916,13407.990062708384,26.99456849728449
33045.47995816916,14121.509991532308,19.99456849728449
33045.47995816916,14835.029920356348,14.99456849728449
33045.47995816916,15548.54984917934,15.99456849728449
32118.039772618562,9033.139018199407,-78.00543150271551
32118.039772618562,9746.74513973738,-33.00543150271551
32118.039772618562,10460.351261275355,-2.00543150271551
32118.039772618562,11174.039049799321,-10.00543150271551
32118.039772618562,11887.645171337295,-3.00543150271551
32118.039772618562,12601.251292875386,6.99456849728449
32118.039772618562,13314.85741441336,32.99456849728449
32118.039772618562,14028.463535952382,28.99456849728449
32118.039772618562,14742.069657490356,17.99456849728449
32118.039772618562,15455.67577902833,20.99456849728449
31190.174934968352,8939.462728693383,-81.00543150271551
31190.174934968352,9653.155067312298,-33.00543150271551
31190.174934968352,10366.84740593133,3.99456849728449
31190.174934968352,11080.621421403368,4.99456849728449
31190.174934968352,11794.313760023331,8.99456849728449
31190.174934968352,12508.006098642363,14.99456849728449
31190.174934968352,13221.698437261395,33.99456849728449
31190.174934968352,13935.390775881358,29.99456849728449
31190.174934968352,14649.08311450039,24.99456849728449
31190.174934968352,15362.775453119306,25.99456849728449
30262.734749428928,8845.845710992347,-68.00543150271551
30262.734749428928,9559.624212141382,-15.00543150271551
30262.734749428928,10273.402713289368,-3.00543150271551
30262.734749428928,10987.26290115132,7.99456849728449
30262.734749428928,11701.041402299306,13.99456849728449
30262.734749428928,12414.81990344834,21.99456849728449
30262.734749428928,13128.598404596327,30.99456849728449
30262.734749428928,13842.376905745361,36.99456849728449
30262.734749428928,14556.155406893347,31.99456849728449
30262.734749428928,15269.933908042382,38.99456849728449
29334.86991177872,8038.3375491823535,-78.00543150271551
29334.86991177872,8752.202237210353,-27.00543150271551
29334.86991177872,9466.066925237305,5.99456849728449
29334.86991177872,10179.931613264373,12.99456849728449
29334.86991177872,10893.877997867297,20.99456849728449
29334.86991177872,11607.742685894365,26.99456849728449
29334.86991177872,12321.607373922365,33.99456849728449
29334.86991177872,13035.472061949316,43.99456849728449
29334.86991177872,13749.336749976384,39.99456849728449
29334.86991177872,14463.201438003336,42.99456849728449
29334.86991177872,15177.066126030404,49.99456849728449
28407.00507412851,7944.624318218324,-78.00543150271551
28407.00507412851,8658.575178017374,-8.00543150271551
28407.00507412851,9372.526037815376,9.99456849728449
28407.00507412851,10086.476897613378,20.99456849728449
28407.00507412851,10800.509463849361,30.99456849728449
28407.00507412851,11514.460323647363,38.99456849728449
28407.00507412851,12228.411183446296,36.99456849728449
28407.00507412851,12942.362043244299,37.99456849728449
28407.00507412851,13656.3129030423,42.99456849728449
28407.00507412851,14370.263762840303,48.99456849728449
28407.00507412851,15084.214622638305,46.99456849728449
27479.564888589084,7850.970397007302,-53.00543150271551
27479.564888589084,8565.007374039385,5.99456849728449
27479.564888589084,9279.0443510724,19.99456849728449
