X,Y,Z
2928905.80619812,-716650.4400825497,-1325.8799999999999
2928905.80619812,-716036.6161155701,-1324.4068
2928905.80619812,-715422.72190094,-1305.9918
2928905.80619812,-714808.8979339597,-1319.2505999999998
2928905.80619812,-714195.0739669801,-1350.9243999999999
2928905.80619812,-713581.2499999998,-1348.7146
2928905.80619812,-712967.4260330201,-1314.8310000000001
2928905.80619812,-712353.6020660398,-1284.6304
2928905.80619812,-711739.7780990603,-1264.0056000000002
2928905.80619812,-711125.8838844302,-1232.3318
2928905.80619812,-710512.0599174498,-1175.6136
2928905.80619812,-709898.2359504702,-1094.5876
2928905.80619812,-709284.4119834899,-987.7806
2928905.80619812,-708670.5880165095,-846.3534
2928905.80619812,-708056.7640495299,-708.6092
2928905.80619812,-707442.9400825503,-563.499
2928905.80619812,-706829.11611557,-430.1744
2928905.80619812,-706215.2219009398,-334.4164
2928905.80619812,-705601.3979339595,-233.50220000000002
2928905.80619812,-704987.57396698,-156.8958
2928905.80619812,-704373.7499999995,-126.6952
2928905.80619812,-703759.92603302,-120.0658
2928905.80619812,-703146.1020660397,-115.6462
2928905.80619812,-702532.2780990601,-111.9632
2928905.80619812,-701918.38388443,-107.5436
2928905.80619812,-701304.5599174497,-105.33380000000001
2928905.80619812,-700690.73595047,-106.0704
2928905.80619812,-700076.9119834896,-105.33380000000001
2928905.80619812,-699463.0880165101,-103.8606
2928905.80619812,-698849.2640495297,-102.3874
2928905.80619812,-698235.4400825502,-101.65079999999999
2928905.80619812,-697621.6161155698,-100.17760000000001
2928905.80619812,-697007.7219009397,-99.441
2928905.80619812,-696393.8979339602,-98.7044
2928905.80619812,-695780.0739669797,-97.9678
2928905.80619812,-695166.2500000001,-97.9678
2928905.80619812,-694552.4260330199,-97.2312
2928905.80619812,-693938.6020660403,-96.49459999999999
2928905.80619812,-693324.7780990598,-95.0214
2928905.80619812,-692710.8838844298,-95.0214
2928905.80619812,-692097.0599174502,-95.0214
2928905.80619812,-691483.2359504699,-94.2848
2928905.80619812,-690869.4119834895,-94.2848
2928905.80619812,-690255.5880165099,-93.54820000000001
2928905.80619812,-689641.7640495296,-92.8116
2928905.80619812,-689027.94008255,-92.8116
2928905.80619812,-688414.1161155696,-92.075
2928905.80619812,-687800.2219009396,-91.3384
2928905.80619812,-687186.39793396,-90.6018
2928905.80619812,-686572.5739669796,-89.8652
2928905.80619812,-685958.75,-89.12859999999999
2928905.80619812,-685344.9260330197,-88.392
2928905.80619812,-684731.10206604,-87.6554
2928905.80619812,-684117.2780990597,-86.18220000000001
2928905.80619812,-683503.3838844296,-85.4456
2928905.80619812,-682889.5599174501,-83.9724
2928905.80619812,-682275.7359504697,-82.49919999999999
2928905.80619812,-681661.9119834901,-81.02600000000001
2928905.80619812,-681048.0880165098,-78.0796
2928905.80619812,-680434.2640495301,-75.1332
2928905.80619812,-679820.4400825498,-71.45020000000001
2928905.80619812,-679206.6161155702,-67.7672
2928905.80619812,-678592.7219009402,-64.0842
2928905.80619812,-677978.8979339597,-61.1378
2928905.80619812,-677365.0739669802,-58.1914
2928905.80619812,-676751.2499999999,-55.9816
2928905.80619812,-676137.4260330203,-54.5084
2928905.80619812,-675523.6020660399,-53.7718
2928905.80619812,-674909.7780990603,-51.562
2928905.80619812,-674295.8838844295,-48.6156
2928905.80619812,-673682.05991745,-47.1424
2928905.80619812,-673068.2359504702,-46.4058
2928905.80619812,-672454.4119834899,-44.9326
2928905.80619812,-671840.5880165097,-42.7228
2928905.80619812,-671226.7640495299,-39.7764
2928905.80619812,-670612.9400825496,-36.83
2928905.80619812,-669999.1161155701,-33.147
2928905.80619812,-669385.2219009399,-29.464000000000002
2928905.80619812,-668771.3979339596,-25.044400000000003
2928905.80619812,-668157.5739669801,-20.624799999999997
2928905.80619812,-667543.7499999997,-16.2052
2928905.80619812,-666929.9260330201,-12.522200000000002
