X,Y,Z
4427289.02511597,-795366.265293415,11882
4427289.02511597,-794653.26295616,11883
4427289.02511597,-793940.179021017,11884
4427289.02511597,-793227.176683762,11886
4427289.02511597,-792514.174346507,11888
4427289.02511597,-791801.172009252,11890
4427289.02511597,-791088.169671996,11894
4427289.02511597,-790375.167334741,11898
4427289.02511597,-789662.164997486,11903
4427289.02511597,-788949.162660231,11908
4427289.02511597,-788236.078725088,11913
4427289.02511597,-787523.076387833,11917
4427289.02511597,-786810.074050578,11921
4427289.02511597,-786097.071713322,11924
4427289.02511597,-785384.069376067,11926
4427289.02511597,-784671.067038812,11927
4427289.02511597,-783958.064701557,11930
4427289.02511597,-783244.980766414,11933
4427289.02511597,-782531.978429159,11936
4427289.02511597,-781818.976091904,11937
4427289.02511597,-781105.973754649,11938
4427289.02511597,-780392.971417393,11941
4427289.02511597,-779679.969080138,11945
4427289.02511597,-778966.966742883,11948
4427289.02511597,-778253.964405628,11953
4427289.02511597,-777540.880470485,11958
4427289.02511597,-776827.87813323,11963
4427289.02511597,-776114.875795975,11970
4427289.02511597,-775401.873458719,11976
4427289.02511597,-774688.871121464,11982
4427289.02511597,-773975.868784209,11985
4427289.02511597,-773262.866446954,11991
4426361.58493042,-844666.364986675,9355
4426361.58493042,-843953.276366194,9385
4426361.58493042,-843240.187745712,9470
4426361.58493042,-842527.099125231,9560
4426361.58493042,-841813.928896987,9608
4426361.58493042,-841100.840276506,9632
4426361.58493042,-840387.751656024,9665
4426361.58493042,-839674.663035543,9709
4426361.58493042,-838961.574415061,9753
4426361.58493042,-838248.48579458,9796
4426361.58493042,-837535.397174098,9839
4426361.58493042,-836822.226945855,9877
4426361.58493042,-836109.138325374,9918
4426361.58493042,-835396.049704892,9964
4426361.58493042,-834682.961084411,10020
4426361.58493042,-833969.872463929,10115
4426361.58493042,-833256.783843448,10196
4426361.58493042,-832543.695222966,10200
4426361.58493042,-831830.606602485,10202
4426361.58493042,-831117.436374242,10227
4426361.58493042,-830404.34775376,10209
4426361.58493042,-829691.259133279,10166
4426361.58493042,-828978.170512797,10169
4426361.58493042,-828265.081892316,10215
4426361.58493042,-827551.993271834,10256
4426361.58493042,-826838.904651353,10284
4426361.58493042,-826125.73442311,10327
4426361.58493042,-825412.645802628,10404
4426361.58493042,-824699.557182147,10514
4426361.58493042,-823986.468561665,10659
4426361.58493042,-823273.379941183,10851
4426361.58493042,-822560.291320702,11038
4426361.58493042,-821847.202700221,11235
4426361.58493042,-821134.114079739,11416
4426361.58493042,-820420.943851496,11546
4426361.58493042,-819707.855231014,11683
4426361.58493042,-818994.766610533,11787
4426361.58493042,-818281.677990051,11828
4426361.58493042,-817568.58936957,11837
4426361.58493042,-816855.500749088,11843
4426361.58493042,-816142.412128607,11848
4426361.58493042,-815429.241900364,11854
4426361.58493042,-814716.153279882,11857
4426361.58493042,-814003.064659401,11856
4426361.58493042,-813289.976038919,11857
4426361.58493042,-812576.887418438,11859
4426361.58493042,-811863.798797956,11861
4426361.58493042,-811150.710177475,11862
4426361.58493042,-810437.621556993,11864
4426361.58493042,-809724.45132875,11865
4426361.58493042,-809011.362708269,11866
4426361.58493042,-808298.274087787,11867
4426361.58493042,-807585.185467306,11867
4426361.58493042,-806872.096846824,11868
4426361.58493042,-806159.008226343,11869
4426361.58493042,-805445.919605861,11871
4426361.58493042,-804732.749377618,11871
4426361.58493042,-804019.660757137,11871
4426361.58493042,-803306.572136655,11872
4426361.58493042,-802593.483516173,11872
4426361.58493042,-801880.394895692,11873
4426361.58493042,-801167.30627521,11874
4426361.58493042,-800454.217654729,11874
4426361.58493042,-799741.129034247,11875
4426361.58493042,-799027.958806004,11876
4426361.58493042,-798314.870185523,11877
4426361.58493042,-797601.781565041,11878
4426361.58493042,-796888.69294456,11879
4426361.58493042,-796175.604324078,11880
4426361.58493042,-795462.515703597,11881
